name,phase,scheme,a_bits,bcd_bits,x_bits,lr,epochs,acc,peak_absA,maxA,maxX
ptq_(fp)_Noneb,ptq,None,,4,,,,98.2,,0.999512,12.9189
ptq_cartesian-asym_16b,ptq,cartesian-asym,16,4,,,,98.2,,0.999512,12.9206
ptq_cartesian-asym_8b,ptq,cartesian-asym,8,4,,,,97.0,,0.999512,12.8007
ptq_cartesian-asym_7b,ptq,cartesian-asym,7,4,,,,94.8,,0.999501,14.8423
ptq_cartesian-asym_6b,ptq,cartesian-asym,6,4,,,,63.3,,1.003905,20.0107
ptq_cartesian-proj_16b,ptq,cartesian-proj,16,4,,,,98.2,,0.999506,12.9176
ptq_cartesian-proj_8b,ptq,cartesian-proj,8,4,,,,92.6,,0.999999,12.8206
ptq_cartesian-proj_7b,ptq,cartesian-proj,7,4,,,,92.2,,0.999985,13.1769
ptq_cartesian-proj_6b,ptq,cartesian-proj,6,4,,,,61.8,,0.999997,12.9449
ptq_polar_16b,ptq,polar,16,4,,,,98.2,,0.999512,12.9159
ptq_polar_8b,ptq,polar,8,4,,,,98.1,,0.999512,12.2052
ptq_polar_7b,ptq,polar,7,4,,,,97.5,,0.999512,9.5782
ptq_polar_6b,ptq,polar,6,4,,,,77.1,,0.999512,15.7175
ptq_logpolar_16b,ptq,logpolar,16,4,,,,98.2,,0.999512,12.9189
ptq_logpolar_8b,ptq,logpolar,8,4,,,,98.3,,0.999512,12.2604
ptq_logpolar_7b,ptq,logpolar,7,4,,,,97.4,,0.999512,10.2188
ptq_logpolar_6b,ptq,logpolar,6,4,,,,92.3,,0.999512,13.8218
ptq_logpolar-r1_16b,ptq,logpolar-r1,16,4,,,,97.3,,0.999512,14.2663
ptq_logpolar-r1_8b,ptq,logpolar-r1,8,4,,,,97.3,,0.999512,14.2703
ptq_logpolar-r1_7b,ptq,logpolar-r1,7,4,,,,97.3,,0.999512,14.2768
ptq_logpolar-r1_6b,ptq,logpolar-r1,6,4,,,,97.3,,0.999512,14.232
ptq_unitary_16b,ptq,unitary,16,4,,,,8.7,,1.0,147.401
ptq_unitary_8b,ptq,unitary,8,4,,,,8.7,,1.0,147.4625
ptq_unitary_7b,ptq,unitary,7,4,,,,8.7,,1.0,147.2238
ptq_unitary_6b,ptq,unitary,6,4,,,,8.7,,1.0,148.4948
ptq_polar-bad_16b,ptq,polar-bad,16,4,,,,98.1,,0.999512,12.9126
ptq_polar-bad_8b,ptq,polar-bad,8,4,,,,10.2,,0.999512,12.4256
ptq_polar-bad_7b,ptq,polar-bad,7,4,,,,8.4,,0.999512,9.7439
ptq_polar-bad_6b,ptq,polar-bad,6,4,,,,8.6,,0.999512,8.9638
ptq_logpolar-bad_16b,ptq,logpolar-bad,16,4,,,,98.1,,0.999512,12.9156
ptq_logpolar-bad_8b,ptq,logpolar-bad,8,4,,,,9.8,,0.999512,12.3416
ptq_logpolar-bad_7b,ptq,logpolar-bad,7,4,,,,8.3,,0.999512,10.5345
ptq_logpolar-bad_6b,ptq,logpolar-bad,6,4,,,,8.7,,0.999512,8.3704
ptq_(fp)_Noneb,ptq,None,,4,,,,98.2,,0.999512,12.9189
ptq_cartesian-asym_8b,ptq,cartesian-asym,8,4,,,,97.0,,0.999512,12.8007
ptq_cartesian-asym_7b,ptq,cartesian-asym,7,4,,,,94.8,,0.999501,14.8423
ptq_cartesian-asym_6b,ptq,cartesian-asym,6,4,,,,63.3,,1.003905,20.0107
ptq_cartesian-asym_5b,ptq,cartesian-asym,5,4,,,,9.9,,1.017745,295158.5
ptq_cartesian-asym_4b,ptq,cartesian-asym,4,4,,,,9.9,,1.051353,1.843605262879949e+16
ptq_logpolar-r1_8b,ptq,logpolar-r1,8,4,,,,97.3,,0.999512,14.2703
ptq_logpolar-r1_7b,ptq,logpolar-r1,7,4,,,,97.3,,0.999512,14.2768
ptq_logpolar-r1_6b,ptq,logpolar-r1,6,4,,,,97.3,,0.999512,14.232
ptq_logpolar-r1_5b,ptq,logpolar-r1,5,4,,,,96.9,,0.999512,14.1809
ptq_logpolar-r1_4b,ptq,logpolar-r1,4,4,,,,94.1,,0.999512,11.2212
ptq_cartesian_8b,ptq,cartesian,8,4,,,,90.6,,1.003356,12.8119
ptq_cartesian_6b,ptq,cartesian,6,4,,,,8.7,,1.014607,1524.0544
ptq_cartesian_5b,ptq,cartesian,5,4,,,,8.7,,1.033707,6625981440.0
ptq_cartesian_4b,ptq,cartesian,4,4,,,,8.5,,1.081978,1e+30
ptq_cartesian-proj_8b,ptq,cartesian-proj,8,4,,,,92.6,,0.999999,12.8206
ptq_cartesian-proj_6b,ptq,cartesian-proj,6,4,,,,61.8,,0.999997,12.9449
ptq_cartesian-proj_5b,ptq,cartesian-proj,5,4,,,,18.0,,0.999987,20.8152
ptq_cartesian-proj_4b,ptq,cartesian-proj,4,4,,,,12.1,,0.999992,56.3881
ptq_polar_8b,ptq,polar,8,4,,,,98.1,,0.999512,12.2052
ptq_polar_6b,ptq,polar,6,4,,,,77.1,,0.999512,15.7175
ptq_polar_5b,ptq,polar,5,4,,,,53.6,,0.999512,8.5351
ptq_polar_4b,ptq,polar,4,4,,,,9.5,,0.999512,9.0207
ptq_logpolar_8b,ptq,logpolar,8,4,,,,98.3,,0.999512,12.2604
ptq_logpolar_6b,ptq,logpolar,6,4,,,,92.3,,0.999512,13.8218
ptq_logpolar_5b,ptq,logpolar,5,4,,,,69.0,,0.999512,7.9539
ptq_logpolar_4b,ptq,logpolar,4,4,,,,10.0,,0.999512,9.7984
ptq_mag-only_8b,ptq,mag-only,8,4,,,,98.5,,0.999512,12.826
ptq_mag-only_6b,ptq,mag-only,6,4,,,,97.6,,0.999512,14.5306
ptq_mag-only_4b,ptq,mag-only,4,4,,,,95.6,,0.999512,13.9053
ptq_mag-only_3b,ptq,mag-only,3,4,,,,95.7,,0.999512,13.9053
ptq_logmag-only_8b,ptq,logmag-only,8,4,,,,98.2,,0.999512,12.9143
ptq_logmag-only_6b,ptq,logmag-only,6,4,,,,98.2,,0.999512,12.9658
ptq_logmag-only_4b,ptq,logmag-only,4,4,,,,98.4,,0.999512,12.9633
ptq_logmag-only_3b,ptq,logmag-only,3,4,,,,98.1,,0.999512,12.8272
ptq_phase-only_8b,ptq,phase-only,8,4,,,,98.3,,0.999512,12.2647
ptq_phase-only_6b,ptq,phase-only,6,4,,,,92.5,,0.999512,13.7699
ptq_phase-only_4b,ptq,phase-only,4,4,,,,10.1,,0.999512,9.8163
ptq_phase-only_3b,ptq,phase-only,3,4,,,,10.2,,0.999512,13.1612
ptq_cartesian-asym_A16x16,ptq,cartesian-asym,16,4,16,,,98.2,,0.999512,12.921
ptq_cartesian-asym_A16x8,ptq,cartesian-asym,16,4,8,,,97.4,,0.999512,12.904
ptq_cartesian-asym_A16x7,ptq,cartesian-asym,16,4,7,,,95.0,,0.999512,12.9414
ptq_cartesian-asym_A16x6,ptq,cartesian-asym,16,4,6,,,68.3,,0.999512,32.7252
ptq_cartesian-asym_A8x16,ptq,cartesian-asym,8,4,16,,,97.0,,0.999512,12.8004
ptq_cartesian-asym_A8x8,ptq,cartesian-asym,8,4,8,,,96.7,,0.999512,12.6968
ptq_cartesian-asym_A8x7,ptq,cartesian-asym,8,4,7,,,93.8,,0.999512,12.8631
ptq_cartesian-asym_A8x6,ptq,cartesian-asym,8,4,6,,,66.7,,0.999512,40.5497
ptq_cartesian-asym_A7x16,ptq,cartesian-asym,7,4,16,,,94.8,,0.999501,14.842
ptq_cartesian-asym_A7x8,ptq,cartesian-asym,7,4,8,,,93.9,,0.999501,14.9448
ptq_cartesian-asym_A7x7,ptq,cartesian-asym,7,4,7,,,90.4,,0.999501,14.8153
ptq_cartesian-asym_A7x6,ptq,cartesian-asym,7,4,6,,,62.3,,0.999501,37.9152
ptq_cartesian-asym_A6x16,ptq,cartesian-asym,6,4,16,,,63.2,,1.003905,20.0105
ptq_cartesian-asym_A6x8,ptq,cartesian-asym,6,4,8,,,61.2,,1.003905,20.6978
ptq_cartesian-asym_A6x7,ptq,cartesian-asym,6,4,7,,,55.9,,1.003905,20.2378
ptq_cartesian-asym_A6x6,ptq,cartesian-asym,6,4,6,,,20.7,,1.003905,41.7097
ptq_logpolar_A16x16,ptq,logpolar,16,4,16,,,98.2,,0.999512,12.9188
ptq_logpolar_A16x8,ptq,logpolar,16,4,8,,,97.3,,0.999512,12.8639
ptq_logpolar_A16x7,ptq,logpolar,16,4,7,,,95.1,,0.999512,12.8893
ptq_logpolar_A16x6,ptq,logpolar,16,4,6,,,69.2,,0.999512,32.723
ptq_logpolar_A8x16,ptq,logpolar,8,4,16,,,98.3,,0.999512,12.2602
ptq_logpolar_A8x8,ptq,logpolar,8,4,8,,,97.2,,0.999512,12.2384
ptq_logpolar_A8x7,ptq,logpolar,8,4,7,,,95.8,,0.999512,12.2447
ptq_logpolar_A8x6,ptq,logpolar,8,4,6,,,62.1,,0.999512,44.1278
ptq_logpolar_A7x16,ptq,logpolar,7,4,16,,,97.4,,0.999512,10.2188
ptq_logpolar_A7x8,ptq,logpolar,7,4,8,,,96.5,,0.999512,10.2445
ptq_logpolar_A7x7,ptq,logpolar,7,4,7,,,94.5,,0.999512,10.2783
ptq_logpolar_A7x6,ptq,logpolar,7,4,6,,,51.1,,0.999512,41.3524
ptq_logpolar_A6x16,ptq,logpolar,6,4,16,,,92.3,,0.999512,13.8222
ptq_logpolar_A6x8,ptq,logpolar,6,4,8,,,92.7,,0.999512,13.9191
ptq_logpolar_A6x7,ptq,logpolar,6,4,7,,,82.6,,0.999512,13.7969
ptq_logpolar_A6x6,ptq,logpolar,6,4,6,,,47.2,,0.999512,49.025
ptq_logpolar-r1_A16x16,ptq,logpolar-r1,16,4,16,,,97.3,,0.999512,14.2665
ptq_logpolar-r1_A16x8,ptq,logpolar-r1,16,4,8,,,96.4,,0.999512,14.3717
ptq_logpolar-r1_A16x7,ptq,logpolar-r1,16,4,7,,,92.6,,0.999512,14.4245
ptq_logpolar-r1_A16x6,ptq,logpolar-r1,16,4,6,,,40.6,,0.999512,46.8984
ptq_logpolar-r1_A8x16,ptq,logpolar-r1,8,4,16,,,97.3,,0.999512,14.2698
ptq_logpolar-r1_A8x8,ptq,logpolar-r1,8,4,8,,,96.6,,0.999512,14.2309
ptq_logpolar-r1_A8x7,ptq,logpolar-r1,8,4,7,,,93.1,,0.999512,14.5303
ptq_logpolar-r1_A8x6,ptq,logpolar-r1,8,4,6,,,41.3,,0.999512,38.4228
ptq_logpolar-r1_A7x16,ptq,logpolar-r1,7,4,16,,,97.3,,0.999512,14.2773
ptq_logpolar-r1_A7x8,ptq,logpolar-r1,7,4,8,,,96.2,,0.999512,14.267
ptq_logpolar-r1_A7x7,ptq,logpolar-r1,7,4,7,,,92.6,,0.999512,14.3054
ptq_logpolar-r1_A7x6,ptq,logpolar-r1,7,4,6,,,41.7,,0.999512,42.9007
ptq_logpolar-r1_A6x16,ptq,logpolar-r1,6,4,16,,,97.3,,0.999512,14.2318
ptq_logpolar-r1_A6x8,ptq,logpolar-r1,6,4,8,,,97.0,,0.999512,14.4403
ptq_logpolar-r1_A6x7,ptq,logpolar-r1,6,4,7,,,92.4,,0.999512,14.2049
ptq_logpolar-r1_A6x6,ptq,logpolar-r1,6,4,6,,,50.9,,0.999512,33.3689
ptq_logpolar_A6x8,ptq,logpolar,6,4,8,,,92.7,,0.999512,13.9191
ptq_logpolar_A6x7,ptq,logpolar,6,4,7,,,82.6,,0.999512,13.7969
ptq_logpolar_A5x8,ptq,logpolar,5,4,8,,,68.8,,0.999512,7.9702
ptq_logpolar_A5x7,ptq,logpolar,5,4,7,,,56.7,,0.999512,7.9596
ptq_logpolar_A4x8,ptq,logpolar,4,4,8,,,9.5,,0.999512,9.9134
ptq_logpolar_A4x7,ptq,logpolar,4,4,7,,,8.3,,0.999512,9.8027
ptq_logpolar-r1_A6x8,ptq,logpolar-r1,6,4,8,,,97.0,,0.999512,14.4403
ptq_logpolar-r1_A6x7,ptq,logpolar-r1,6,4,7,,,92.4,,0.999512,14.2049
ptq_logpolar-r1_A5x8,ptq,logpolar-r1,5,4,8,,,96.0,,0.999512,14.3399
ptq_logpolar-r1_A5x7,ptq,logpolar-r1,5,4,7,,,91.6,,0.999512,14.191
ptq_logpolar-r1_A4x8,ptq,logpolar-r1,4,4,8,,,93.4,,0.999512,11.3833
ptq_logpolar-r1_A4x7,ptq,logpolar-r1,4,4,7,,,86.5,,0.999512,11.3206
split_lp_r2t14,ptq,<lambda>,1,4,,,,98.2,,0.999512,12.421
split_lp_r4t12,ptq,<lambda>,1,4,,,,98.4,,0.999512,12.9929
split_lp_r6t10,ptq,<lambda>,1,4,,,,98.1,,0.999512,13.0449
split_lp_r8t8,ptq,<lambda>,1,4,,,,98.3,,0.999512,12.2604
split_lp_r10t6,ptq,<lambda>,1,4,,,,92.5,,0.999512,13.7692
split_lp_r12t4,ptq,<lambda>,1,4,,,,10.1,,0.999512,9.8163
split_lp_r14t2,ptq,<lambda>,1,4,,,,16.0,,0.999512,15.803
split_lp_r2t10,ptq,<lambda>,1,4,,,,98.2,,0.999512,12.4955
split_lp_r4t8,ptq,<lambda>,1,4,,,,98.4,,0.999512,12.3083
split_lp_r6t6,ptq,<lambda>,1,4,,,,92.3,,0.999512,13.8218
split_lp_r8t4,ptq,<lambda>,1,4,,,,10.1,,0.999512,9.8179
split_lp_r10t2,ptq,<lambda>,1,4,,,,16.0,,0.999512,15.8031
split_lp_r2t8,ptq,<lambda>,1,4,,,,98.3,,0.999512,11.8619
split_lp_r4t6,ptq,<lambda>,1,4,,,,92.7,,0.999512,13.8573
split_lp_r6t4,ptq,<lambda>,1,4,,,,10.1,,0.999512,9.8233
split_lp_r8t2,ptq,<lambda>,1,4,,,,16.0,,0.999512,15.7986
split_lp_r2t6,ptq,<lambda>,1,4,,,,91.5,,0.999512,13.4191
split_lp_r4t4,ptq,<lambda>,1,4,,,,10.0,,0.999512,9.7984
split_lp_r6t2,ptq,<lambda>,1,4,,,,16.0,,0.999512,15.8015
qat_frozen_cartesian-asym_A16x16,qat_train,cartesian-asym,16,4,16,0.001,2,,0.999512,,
qat_frozen_cartesian-asym_A16x16_eval,ptq,cartesian-asym,16,4,16,,,94.0,,0.999512,21.1431
qat_frozen_cartesian-asym_A16x8,qat_train,cartesian-asym,16,4,8,0.001,2,,0.999512,,
qat_frozen_cartesian-asym_A16x8_eval,ptq,cartesian-asym,16,4,8,,,94.7,,0.999512,15.5628
qat_frozen_cartesian-asym_A16x7,qat_train,cartesian-asym,16,4,7,0.001,2,,0.999512,,
qat_frozen_cartesian-asym_A16x7_eval,ptq,cartesian-asym,16,4,7,,,94.9,,0.999512,76.5696
qat_frozen_cartesian-asym_A16x6,qat_train,cartesian-asym,16,4,6,0.001,2,,0.999512,,
qat_frozen_cartesian-asym_A16x6_eval,ptq,cartesian-asym,16,4,6,,,80.7,,0.999512,597.8745
qat_frozen_cartesian-asym_A8x16,qat_train,cartesian-asym,8,4,16,0.001,2,,0.999512,,
qat_frozen_cartesian-asym_A8x16_eval,ptq,cartesian-asym,8,4,16,,,92.2,,0.999512,18.1307
